party_id,party,country,lrgen
102.0,PS,be,Low
103.0,SP/SPA,be,Low
104.0,ECOLO,be,Low
105.0,AGALEV,be,Low
106.0,PRL/MR,be,Medium
107.0,VLD/PVV,be,Medium
108.0,PSC/CDH,be,Medium
109.0,CDV,be,Medium
110.0,VU/NVA,be,High
112.0,VB,be,High
119.0,PVDA-PTB,be,
201.0,SD,dk,Low
202.0,RV,dk,Medium
203.0,KF,dk,High
206.0,SF,dk,Low
211.0,v,dk,Medium
213.0,EL,dk,Low
215.0,DF,dk,Medium
218.0,LA,dk,High
219.0,A,dk,Low
220.0,NB,dk,High
301.0,CDU,ge,Medium
302.0,SPD,ge,Low
303.0,FDP,ge,Medium
304.0,GRUNEN,ge,Low
306.0,LINKE,ge,Low
308.0,CSU,ge,High
310.0,AfD,ge,High
311.0,Piraten,ge,Low
312.0,DieTier,ge,Low
401.0,PASOK,gr,Medium
402.0,ND,gr,High
403.0,SYRIZA,gr,Low
404.0,KKE,gr,
415.0,XA,gr,High
416.0,EL,gr,High
417.0,MR25,gr,Low
418.0,KIDISO,gr,Medium
501.0,PSOE,esp,Low
502.0,PPP,esp,High
504.0,IU,esp,Low
506.0,PNV,esp,Medium
511.0,ERC,esp,Low
513.0,BNG,esp,Low
517.0,CC,esp,Medium
524.0,EHB,esp,Low
525.0,Podemos,esp,Low
526.0,Cs,esp,High
527.0,Vox,esp,High
528.0,Pais,esp,Low
550.0,PdeCat,esp,Medium
601.0,PCF,fr,Low
602.0,PS,fr,Low
605.0,EELV,fr,Low
609.0,LR,fr,High
610.0,RN,fr,High
613.0,MoDem,fr,Medium
626.0,LREM,fr,Medium
627.0,FI,fr,Low
628.0,DLF,fr,High
701.0,FF,irl,Medium
702.0,FG,irl,Medium
703.0,Lab,irl,Low
705.0,GP,irl,Low
707.0,SF,irl,Low
709.0,S-PBP,irl,
710.0,DS,irl,Low
711.0,I4C,irl,Low
712.0,RI,irl,High
811.0,LN,it,High
813.0,RI,it,Medium
815.0,FI,it,Medium
827.0,SVP,it,Medium
837.0,PD,it,Low
838.0,SI,it,Low
844.0,FdI,it,High
845.0,M5S,it,Medium
1001.0,CDA,nl,Medium
1002.0,PvdA,nl,Low
1003.0,VVD,nl,High
1004.0,D66,nl,Medium
1005.0,GL,nl,Low
1006.0,SGP,nl,High
1014.0,SP,nl,Low
1016.0,CU,nl,Medium
1017.0,PVV,nl,High
1018.0,PVdD,nl,Low
1020.0,50PLUS,nl,Medium
1050.0,DENK,nl,Medium
1051.0,FvD,nl,High
1101.0,CONS,uk,High
1102.0,LAB,uk,Low
1104.0,LIBDEM,uk,Medium
1105.0,SNP,uk,Low
1106.0,PLAID,uk,Low
1107.0,GREEN,uk,Low
1108.0,UKIP,uk,High
1110.0,BREXIT,uk,High
1201.0,CDU,por,
1202.0,CDS/PP,por,High
1205.0,PS,por,Medium
1206.0,PSD,por,Medium
1208.0,BE,por,
1210.0,PCP,por,
1211.0,PEV,por,Low
1250.0,PAN,por,Low
1301.0,SPO,aus,Low
1302.0,OVP,aus,Medium
1303.0,FPO,aus,High
1304.0,Grune,aus,Low
1306.0,NEOS,aus,Medium
1401.0,SDP,fin,Low
1402.0,KOK,fin,High
1403.0,KESK,fin,Medium
1404.0,VAS,fin,Low
1405.0,PS,fin,High
1406.0,SFP,fin,Medium
1408.0,VIHR,fin,Low
1409.0,KD,fin,Medium
1601.0,V,sv,Low
1602.0,S/SAP,sv,Low
1603.0,C,sv,Medium
1604.0,L,sv,Medium
1605.0,M,sv,High
1606.0,KD,sv,High
1607.0,MP,sv,Low
1610.0,SD,sv,High
2003.0,BSP,bul,Low
2004.0,DPS,bul,Medium
2005.0,BMRO,bul,Medium
2007.0,Ataka,bul,Medium
2008.0,DSB,bul,High
2010.0,GERB,bul,Medium
2014.0,NFSB,bul,High
2017.0,Volya,bul,Medium
2018.0,DB,bul,Medium
2019.0,Slavi Trifonov,bul,Medium
2101.0,CSSD,cz,Low
2102.0,ODS,cz,High
2103.0,KSCM,cz,Low
2104.0,KDU-CSL,cz,Medium
2109.0,TOP09,cz,High
2111.0,ANO2011,cz,Medium
2114.0,Pirates,cz,Medium
2115.0,SPD,cz,High
2116.0,STAN,cz,Medium
2201.0,IRL,est,High
2202.0,EK,est,Medium
2203.0,ER,est,Medium
2204.0,SDE,est,Low
2209.0,EKRE,est,High
2210.0,E200,est,Medium
2301.0,MSZP,hun,Low
2302.0,Fidesz-KDNP,hun,High
2308.0,JOBBIK,hun,High
2309.0,LMP,hun,Low
2310.0,E14,hun,Low
2311.0,DK,hun,Low
2314.0,MM,hun,Medium
2402.0,LKS,lat,Low
2405.0,ZZS,lat,Medium
2406.0,NA,lat,High
2410.0,SDPS,lat,Low
2412.0,V,lat,Medium
2414.0,LRA,lat,Medium
2415.0,KPV LV,lat,Medium
2416.0,JKP,lat,High
2417.0,AP!,lat,Medium
2501.0,LSDP,lith,Low
2506.0,TS-LKD,lith,High
2507.0,LVZS,lith,Medium
2511.0,LLRA,lith,Medium
2515.0,TT,lith,Medium
2516.0,DP,lith,Medium
2518.0,LRLS,lith,Medium
2521.0,LCP,lith,Medium
2522.0,LZP,lith,Low
2523.0,VKM-AMT,lith,Medium
2601.0,SLD,pol,Low
2603.0,PO,pol,Medium
2605.0,PiS,pol,High
2606.0,PSL,pol,Medium
2617.0,Kukiz,pol,High
2618.0,Nowo,pol,Medium
2619.0,Konfederacia,pol,High
2620.0,Lewica Razem,pol,Low
2621.0,Wiosnia,pol,Low
2701.0,PSD,rom,Low
2705.0,PNL,rom,High
2706.0,UDMR,rom,Medium
2711.0,PMP,rom,High
2712.0,ALDE,rom,Medium
2713.0,USR,rom,Medium
2714.0,PRO,rom,Medium
2803.0,Smer-SD,slo,Medium
2804.0,SMK-MKP,slo,Medium
2805.0,KDH,slo,Medium
2809.0,SNS,slo,High
2812.0,SaS,slo,Medium
2813.0,MH,slo,Medium
2814.0,OLaNO,slo,Medium
2816.0,Siet,slo,Medium
2817.0,LSNS,slo,High
2818.0,Sme Rodina,slo,High
2819.0,PS,slo,Low
2820.0,SPOLU,slo,Medium
2821.0,Za Ludi,slo,Medium
2902.0,SDS,sle,High
2903.0,SD,sle,Low
2905.0,NSI,sle,High
2906.0,DeSUS,sle,Low
2907.0,SNS,sle,High
2911.0,SMC,sle,Medium
2912.0,Levica,sle,
2913.0,Alenka Bratusek,sle,Medium
2915.0,LMS,sle,Medium
3101.0,HDZ,cro,Medium
3102.0,SDP,cro,Low
3103.0,HSS,cro,Medium
3104.0,HSLS,cro,Medium
3105.0,HNS,cro,Medium
3106.0,IDS,cro,Low
3107.0,HDSSB,cro,High
3108.0,HSU,cro,Medium
3110.0,SDSS,cro,Low
3115.0,Most,cro,High
3116.0,ZZ,cro,Medium
3117.0,MB 365,cro,Medium
3118.0,NS-R,cro,Medium
3119.0,HKS,cro,High
3401.0,AKP,tur,High
3402.0,CHP,tur,Low
3403.0,MHP,tur,High
3407.0,HDP,tur,Low
3408.0,IYI,tur,High
3501.0,Ap,nor,Low
3502.0,FrP,nor,High
3503.0,H,nor,Medium
3504.0,SV,nor,Low
3505.0,Sp,nor,Medium
3506.0,KrF,nor,Medium
3507.0,V,nor,Medium
3508.0,MDG,nor,Low
3509.0,RV,nor,
3601.0,SVP/UDC,swi,High
3602.0,SP/PS,swi,Low
3603.0,FDP/PLR,swi,Medium
3604.0,CVP/PVC,swi,Medium
3605.0,GPS/PES,swi,Low
3606.0,GPL/PVL,swi,Medium
3607.0,EVP/PEV,swi,Medium
3612.0,BDP/PBD,swi,Medium
3701.0,PL,mal,Medium
3702.0,PN,mal,Medium
3801.0,CSV,lux,Medium
3802.0,Greng,lux,Medium
3803.0,DP,lux,Medium
3804.0,LSAP,lux,Low
3805.0,ADR,lux,High
3806.0,DL,lux,Low
3807.0,PPLU,lux,Medium
4001.0,DISY,cyp,High
4003.0,AKEL,cyp,Low
4004.0,DIKO,cyp,Medium
4005.0,EDEK,cyp,Medium
4006.0,KOP,cyp,Medium
4007.0,SYM,cyp,Medium
4008.0,KINHMA,cyp,Medium
4009.0,ELAM,cyp,High
4501.0,Sj,ice,High
4502.0,Graen,ice,Low
4503.0,F,ice,Medium
4504.0,M,ice,Medium
4505.0,Sam,ice,Low
4506.0,Pi,ice,Low
4507.0,V,ice,Medium
4508.0,FIF,ice,Medium
